post_id,title,category,score,num_comments,author,collected_at
49717638,Building a Linux GPU Driver for the M4 Mac Mini in One Month,technology,205,125,ADevWithAnIdea,2026-09-16 09:58:07
49721435,Stay discoverable in search while disallowing AI training,technology,37,17,djfergus,2026-09-16 09:58:07
49712278,Show HN: Capsule – Single-file web apps that save their data into SQLite,technology,300,121,bashtian,2026-09-16 09:58:07
49713894,Show HN: Pizza Bot – An inbox for AI agents that work in the background,technology,37,22,jd_,2026-09-16 09:58:07
49679949,Data races and the limits of ThreadSanitizer in C and Go,technology,35,1,matt_d,2026-09-16 09:58:07
49713999,Cartesian – AI 3D Modeling for Design,technology,101,78,eustoria,2026-09-16 09:58:07
49680428,Sony's First Computer – The SMC-70 from 1982 [video],technology,69,21,ksymph,2026-09-16 09:58:07
49710015,How much of F-Droid is LLM generated?,technology,125,168,_ZeD_,2026-09-16 09:58:07
49712409,"AI 'kill switch' may need to be mandatory, Anthropic co-founder tells BBC",technology,52,111,Betelbuddy,2026-09-16 09:58:07
49707627,Linux from Scratch,technology,361,109,sippingabonedry,2026-09-16 09:58:07
49697477,Dropping eBPF CPU Cost by About 90% with Memoization (Not AI Gen),technology,150,29,nathannaveen,2026-09-16 09:58:07
49716265,"Google copied our open-source code, removed engineers' names without credit",technology,119,11,jacquesm,2026-09-16 09:58:07
49719249,AWS Says It Can't Restore Some Data from Mideast Facilities Struck by Iran,technology,24,4,berkeleyjunk,2026-09-16 09:58:07
49713261,What we have learned at OpenShell applying formal methods to control AI agents,technology,31,11,alexwatson405,2026-09-16 09:58:07
49712891,Show HN: Loss. a tiny satire about AI progress,technology,30,8,pbobak,2026-09-16 09:58:07
49712416,AI is breaking our proxies for expertise,technology,85,74,jbkcc,2026-09-16 09:58:07
49715672,"Show HN: DaiDocs, AI memory as a plain-text file format, not a service",technology,6,1,Amin_Rigi,2026-09-16 09:58:07
49697094,Adversarial Fashion Makes a Statement on AI Panopticon,technology,111,48,rbanffy,2026-09-16 09:58:07
49709403,Pythoncall.jl – Python and Julia in Harmony,technology,15,1,TheWiggles,2026-09-16 09:58:07
49706223,"Ex-FTC boss Khan: break out the handcuffs for AI CEOs, citing 1934 precedent",technology,223,134,throwworhtthrow,2026-09-16 09:58:07
49716852,AI models chatting in 'surreal' dialect of poetic language and tech bro jargon,technology,19,1,fittingopposite,2026-09-16 09:58:07
49716832,Garbage Trucks Now Have AI Cameras to Score Your House and Clock Code Violations,technology,20,12,madihaa,2026-09-16 09:58:07
49703003,GPT-5.6 Luna vs. GPT-6 Astra: Is a $1.20 Model Good Enough for Code Review?,technology,160,151,theanonymousone,2026-09-16 09:58:07
49710853,Do you still read the code?,technology,11,2,wofo,2026-09-16 09:58:07
49715113,There's a 100% Chance AI Agents Are Ruining the Internet,technology,215,153,pavel_lishin,2026-09-16 09:58:07
49707473,US confirms for first time it has deployed space weapons,worldnews,452,319,harporoeder,2026-09-16 09:58:09
49692098,Inverse-Square Law,worldnews,49,15,surprisetalk,2026-09-16 09:58:09
49704008,Amazon vs. Perplexity – U.S. Court of Appeals for the Ninth Circuit,worldnews,216,217,neom,2026-09-16 09:58:09
49659557,Devil's Arrows: Ancient builders hauled 55k-lb stones 11 miles for UK stone row,worldnews,55,43,bookofjoe,2026-09-16 09:58:09
49712746,"Global bond yields hit 2008 highs, raising stakes for big borrowers",worldnews,157,165,kaycebasques,2026-09-16 09:58:09
